DepthOverDB, 	ErosionPotential
0,	-0
0.001,	-0.0121866
0.002,	-0.0243733
0.003,	-0.0365599
0.004,	-0.0487465
0.005,	-0.0609332
0.006,	-0.0731198
0.007,	-0.0853065
0.008,	-0.0974931
0.009,	-0.10968
0.01,	-0.121866
0.011,	-0.134053
0.012,	-0.14624
0.013,	-0.158426
0.014,	-0.170613
0.015,	-0.1828
0.016,	-0.194986
0.017,	-0.207173
0.018,	-0.219359
0.019,	-0.231546
0.02,	-0.243733
0.021,	-0.255919
0.022,	-0.268106
0.023,	-0.280293
0.024,	-0.292479
0.025,	-0.304666
0.026,	-0.316853
0.027,	-0.329039
0.028,	-0.341226
0.029,	-0.353412
0.03,	-0.365599
0.031,	-0.377786
0.032,	-0.389972
0.033,	-0.402159
0.034,	-0.414346
0.035,	-0.426532
0.036,	-0.438719
0.037,	-0.450906
0.038,	-0.463092
0.039,	-0.475279
0.04,	-0.487465
0.041,	-0.499652
0.042,	-0.511839
0.043,	-0.524025
0.044,	-0.536212
0.045,	-0.548399
0.046,	-0.560585
0.047,	-0.572772
0.048,	-0.584959
0.049,	-0.597145
0.05,	-0.609332
0.051,	-0.621518
0.052,	-0.633705
0.053,	-0.645892
0.054,	-0.658078
0.055,	-0.670265
0.056,	-0.682452
0.057,	-0.694638
0.058,	-0.706825
0.059,	-0.719012
0.06,	-0.731198
0.061,	-0.743385
0.062,	-0.755571
0.063,	-0.767758
0.064,	-0.779945
0.065,	-0.792131
0.066,	-0.804318
0.067,	-0.816505
0.068,	-0.828691
0.069,	-0.840878
0.07,	-0.853065
0.071,	-0.865251
0.072,	-0.877438
0.073,	-0.889624
0.074,	-0.901811
0.075,	-0.913998
0.076,	-0.926184
0.077,	-0.938371
0.078,	-0.950558
0.079,	-0.962744
0.08,	-0.974931
0.081,	-0.987118
0.082,	-0.999304
0.083,	-1.01149
0.084,	-1.02368
0.085,	-1.03586
0.086,	-1.04805
0.087,	-1.06024
0.088,	-1.07242
0.089,	-1.08461
0.09,	-1.0968
0.091,	-1.10898
0.092,	-1.12117
0.093,	-1.13336
0.094,	-1.14554
0.095,	-1.15773
0.096,	-1.16992
0.097,	-1.20266
0.098,	-1.23933
0.099,	-1.276
0.1,	-1.31267
0.101,	-1.34935
0.102,	-1.38602
0.103,	-1.42269
0.104,	-1.45937
0.105,	-1.49604
0.106,	-1.53271
0.107,	-1.56938
0.108,	-1.60606
0.109,	-1.64273
0.11,	-1.6794
0.111,	-1.71607
0.112,	-1.75275
0.113,	-1.78942
0.114,	-1.82609
0.115,	-1.86277
0.116,	-1.89944
0.117,	-1.93611
0.118,	-1.97278
0.119,	-2.00946
0.12,	-2.04613
0.121,	-2.0828
0.122,	-2.11947
0.123,	-2.15615
0.124,	-2.19282
0.125,	-2.22949
0.126,	-2.26617
0.127,	-2.30284
0.128,	-2.33951
0.129,	-2.37618
0.13,	-2.41286
0.131,	-2.44953
0.132,	-2.4862
0.133,	-2.52287
0.134,	-2.55955
0.135,	-2.59622
0.136,	-2.63289
0.137,	-2.66957
0.138,	-2.70624
0.139,	-2.74291
0.14,	-2.77958
0.141,	-2.81626
0.142,	-2.85293
0.143,	-2.8896
0.144,	-2.92627
0.145,	-2.96295
0.146,	-2.99962
0.147,	-3.03629
0.148,	-3.07297
0.149,	-3.10964
0.15,	-3.17142
0.151,	-3.2513
0.152,	-3.33118
0.153,	-3.41106
0.154,	-3.49093
0.155,	-3.57081
0.156,	-3.65069
0.157,	-3.73057
0.158,	-3.81045
0.159,	-3.89033
0.16,	-3.97021
0.161,	-4.05009
0.162,	-4.12996
0.163,	-4.20984
0.164,	-4.28972
0.165,	-4.3696
0.166,	-4.44948
0.167,	-4.52936
0.168,	-4.60924
0.169,	-4.68912
0.17,	-4.769
0.171,	-4.84887
0.172,	-4.92875
0.173,	-5.00863
0.174,	-5.08851
0.175,	-5.16839
0.176,	-5.24827
0.177,	-5.32815
0.178,	-5.40803
0.179,	-5.4879
0.18,	-5.56778
0.181,	-5.64766
0.182,	-5.72754
0.183,	-5.80742
0.184,	-5.8873
0.185,	-5.96718
0.186,	-6.04706
0.187,	-6.12693
0.188,	-6.20681
0.189,	-6.28669
0.19,	-6.36657
0.191,	-6.44645
0.192,	-6.52633
0.193,	-6.60621
0.194,	-6.68609
0.195,	-6.76597
0.196,	-6.84584
0.197,	-6.92572
0.198,	-7.0056
0.199,	-7.08548
0.2,	-7.17377
0.201,	-7.2835
0.202,	-7.39323
0.203,	-7.50297
0.204,	-7.6127
0.205,	-7.72243
0.206,	-7.83216
0.207,	-7.9419
0.208,	-8.05163
0.209,	-8.16136
0.21,	-8.27109
0.211,	-8.38083
0.212,	-8.49056
0.213,	-8.60029
0.214,	-8.71002
0.215,	-8.81976
0.216,	-8.92949
0.217,	-9.03922
0.218,	-9.14895
0.219,	-9.25869
0.22,	-9.36842
0.221,	-9.47815
0.222,	-9.58788
0.223,	-9.69762
0.224,	-9.80735
0.225,	-9.91708
0.226,	-10.0268
0.227,	-10.1365
0.228,	-10.2463
0.229,	-10.356
0.23,	-10.4657
0.231,	-10.5755
0.232,	-10.6852
0.233,	-10.7949
0.234,	-10.9047
0.235,	-11.0144
0.236,	-11.1241
0.237,	-11.2339
0.238,	-11.3436
0.239,	-11.4533
0.24,	-11.5631
0.241,	-11.6728
0.242,	-11.7825
0.243,	-11.8923
0.244,	-12.002
0.245,	-12.1117
0.246,	-12.2215
0.247,	-12.3312
0.248,	-12.4409
0.249,	-12.4947
0.25,	-12.4833
0.251,	-12.4719
0.252,	-12.4604
0.253,	-12.449
0.254,	-12.4376
0.255,	-12.4261
0.256,	-12.4147
0.257,	-12.4033
0.258,	-12.3918
0.259,	-12.3804
0.26,	-12.369
0.261,	-12.3576
0.262,	-12.3461
0.263,	-12.3347
0.264,	-12.3233
0.265,	-12.3118
0.266,	-12.3004
0.267,	-12.289
0.268,	-12.2775
0.269,	-12.2661
0.27,	-12.2547
0.271,	-12.2433
0.272,	-12.2318
0.273,	-12.2204
0.274,	-12.209
0.275,	-12.1975
0.276,	-12.1861
0.277,	-12.1747
0.278,	-12.1632
0.279,	-12.1518
0.28,	-12.1404
0.281,	-12.1289
0.282,	-12.1175
0.283,	-12.1061
0.284,	-12.0947
0.285,	-12.0832
0.286,	-12.0718
0.287,	-12.0604
0.288,	-12.0489
0.289,	-12.0375
0.29,	-12.0261
0.291,	-12.0146
0.292,	-12.0032
0.293,	-11.9918
0.294,	-11.9804
0.295,	-11.9689
0.296,	-11.9575
0.297,	-11.9461
0.298,	-11.9136
0.299,	-11.8693
0.3,	-11.825
0.301,	-11.7807
0.302,	-11.7364
0.303,	-11.6921
0.304,	-11.6479
0.305,	-11.6036
0.306,	-11.5593
0.307,	-11.515
0.308,	-11.4707
0.309,	-11.4265
0.31,	-11.3822
0.311,	-11.3379
0.312,	-11.2936
0.313,	-11.2493
0.314,	-11.2051
0.315,	-11.1608
0.316,	-11.1165
0.317,	-11.0722
0.318,	-11.0279
0.319,	-10.9837
0.32,	-10.9394
0.321,	-10.8951
0.322,	-10.8508
0.323,	-10.8065
0.324,	-10.7623
0.325,	-10.718
0.326,	-10.6737
0.327,	-10.6294
0.328,	-10.5851
0.329,	-10.5409
0.33,	-10.4966
0.331,	-10.4523
0.332,	-10.408
0.333,	-10.3637
0.334,	-10.3194
0.335,	-10.2752
0.336,	-10.2309
0.337,	-10.1866
0.338,	-10.1423
